Kalendertag,Absatz
02-01-2014,96
02-01-2014,40
02-01-2014,24
02-01-2014,48
02-01-2014,48
02-01-2014,40
02-01-2014,40
02-01-2014,24
02-01-2014,80
02-01-2014,40
02-01-2014,72
03-01-2014,48
03-01-2014,24
03-01-2014,144
03-01-2014,60
03-01-2014,20
03-01-2014,48
04-01-2014,72
04-01-2014,60
04-01-2014,0
04-01-2014,24
04-01-2014,100
04-01-2014,60
06-01-2014,24
06-01-2014,24
06-01-2014,40
06-01-2014,120
06-01-2014,48
06-01-2014,312
06-01-2014,24
06-01-2014,20
06-01-2014,24
07-01-2014,96
07-01-2014,72
07-01-2014,48
07-01-2014,72
07-01-2014,60
07-01-2014,40
07-01-2014,72
07-01-2014,60
07-01-2014,140
08-01-2014,120
08-01-2014,144
08-01-2014,40
08-01-2014,24
09-01-2014,72
09-01-2014,96
09-01-2014,-360
09-01-2014,48
09-01-2014,216
09-01-2014,80
09-01-2014,24
09-01-2014,40
09-01-2014,60
09-01-2014,24
09-01-2014,20
10-01-2014,48
10-01-2014,120
10-01-2014,24
11-01-2014,24
11-01-2014,40
11-01-2014,24
11-01-2014,200
11-01-2014,20
13-01-2014,120
13-01-2014,48
13-01-2014,60
14-01-2014,24
14-01-2014,24
14-01-2014,24
14-01-2014,20
14-01-2014,80
14-01-2014,96
14-01-2014,40
15-01-2014,96
15-01-2014,48
15-01-2014,192
15-01-2014,504
15-01-2014,20
15-01-2014,40
15-01-2014,192
15-01-2014,40
15-01-2014,140
15-01-2014,72
16-01-2014,48
16-01-2014,144
16-01-2014,40
16-01-2014,24
16-01-2014,264
16-01-2014,80
16-01-2014,80
16-01-2014,40
16-01-2014,24
17-01-2014,24
17-01-2014,408
17-01-2014,48
17-01-2014,40
17-01-2014,40
17-01-2014,40
18-01-2014,72
18-01-2014,40
18-01-2014,20
20-01-2014,24
20-01-2014,60
20-01-2014,96
20-01-2014,72
20-01-2014,24
21-01-2014,24
21-01-2014,72
21-01-2014,48
21-01-2014,144
21-01-2014,20
21-01-2014,100
21-01-2014,24
21-01-2014,20
21-01-2014,80
21-01-2014,24
22-01-2014,24
22-01-2014,264
22-01-2014,48
22-01-2014,120
22-01-2014,20
22-01-2014,48
23-01-2014,48
23-01-2014,48
23-01-2014,24
23-01-2014,120
23-01-2014,40
23-01-2014,40
23-01-2014,24
23-01-2014,20
23-01-2014,20
24-01-2014,24
24-01-2014,312
24-01-2014,24
24-01-2014,24
24-01-2014,80
24-01-2014,100
24-01-2014,-20
24-01-2014,240
24-01-2014,160
24-01-2014,72
25-01-2014,48
25-01-2014,48
25-01-2014,60
25-01-2014,40
27-01-2014,48
27-01-2014,264
27-01-2014,80
27-01-2014,48
28-01-2014,24
28-01-2014,24
28-01-2014,96
28-01-2014,48
28-01-2014,60
28-01-2014,80
28-01-2014,96
28-01-2014,48
